seed_id,ref_number,citation,title,year,first_author,DOI,PMID,expected_module,retrieved_by_core,retrieved_by_module,retrieved_database,recall_status,failure_reason
S001,[2],"Boogaerts, T., Van Wichelen, N., Quireyns, M., Burgard, D., Bijlsma, L., Delputte, P., Gys, C., Covaci, A., & van Nuijs, A. L. N. (2024). Current state and future perspectives on...",Current state and future perspectives on de facto population markers for normalization in wastewater-based epidemiology: A systematic literature review,2024,Boogaerts,10.1016/j.scitotenv.2024.173223,,core,,,,NOT_TESTED,
S002,[3],"Darling, A., Davis, B. C., Byrne, T., Deck, M., Maldonado Rivera, G. E., Price, S., Amaral-Torres, A., Markham, C., Gonzalez, R. A., Vikesland, P. J., Krometis, L.-A. H., Pruden,...",Comparative assessment of wastewater-based surveillance normalization methods to improve pathogen monitoring in rural sewersheds,2025,Darling,10.1021/acs.est.4c14485,,module03,,,,NOT_TESTED,
S003,[6],"Guo, Y., Liu, Y., Gao, S., Zhou, X., Sivakumar, M., & Jiang, G. (2023). Effects of temperature and water types on the decay of coronavirus: A review.",Effects of temperature and water types on the decay of coronavirus: A review,2023,Guo,10.3390/w15061051,,module02,,,,NOT_TESTED,
S004,[8],"Janssens, R., Hanoteaux, S., Maloux, H., Klamer, S., Laisnez, V., Verhaegen, B., Linard, C., Lahousse, L., Delputte, P., Terwagne, M., Marescaux, J., Pype, R., Didy, C., Dierick,...",SARS-CoV-2 surveillance in Belgian wastewaters,2022,Janssens,10.3390/v14091950,,module03,,,,NOT_TESTED,
S005,[9],"Jung, J., Kim, L. H., Kim, S., & Jun, H. S. (2026). Environmental and microbial factors shaping SARS-CoV-2 RNA decay in wastewater: Insights from batch tests and a lab-scale sewer...",Environmental and microbial factors shaping SARS-CoV-2 RNA decay in wastewater: Insights from batch tests and a lab-scale sewer pipeline simulator,2026,Jung,10.1038/s41598-026-44857-y,,module02,,,,NOT_TESTED,
S006,[10],"Miura, F., Kitajima, M., & Omori, R. (2021). Duration of SARS-CoV-2 viral shedding in faeces as a parameter for wastewater-based epidemiology: Re-analysis of patient data using a...",Duration of SARS-CoV-2 viral shedding in faeces as a parameter for wastewater-based epidemiology: Re-analysis of patient data using a shedding dynamics model,2021,Miura,10.1016/j.scitotenv.2020.144549,,module02,,,,NOT_TESTED,
S007,[12],"Punch, R., Azani, R., Ellison, C., Majury, A., Hynds, P. D., Payne, S. J., & Brown, R. S. (2025). The surveillance of antimicrobial resistance in wastewater from a one health...",The surveillance of antimicrobial resistance in wastewater from a one health perspective: A global scoping and temporal review (2014–2024),2025,Punch,10.1016/j.onehlt.2025.101139,,core,,,,NOT_TESTED,
S008,[13],"Rainey, A. L., Liang, S., Bisesi, J. H., Sabo-Attwood, T., & Maurelli, A. T. (2023). A multistate assessment of population normalization factors for wastewater-based epidemiology...",A multistate assessment of population normalization factors for wastewater-based epidemiology of COVID-19,2023,Rainey,10.1371/journal.pone.0284370,,module05,,,,NOT_TESTED,
S009,[16],"Zhang, S., Sharma, E., Tiwari, A., Chen, Y., Sherchan, S. P., Gao, S., Zhou, X., Shi, J., & Jiang, G. (2023). The reduction of SARS-CoV-2 RNA concentration in the presence of...",The reduction of SARS-CoV-2 RNA concentration in the presence of sewer biofilms,2023,Zhang,10.3390/w15112132,,module02,,,,NOT_TESTED,
S010,[17],"Zhu, W., Wang, D., Li, P., Deng, H., & Deng, Z. (2025). Advances in wastewater-based epidemiology for pandemic surveillance: Methodological frameworks and future perspectives.",Advances in wastewater-based epidemiology for pandemic surveillance: Methodological frameworks and future perspectives,2025,Zhu,10.3390/microorganisms13051169,,core,,,,NOT_TESTED,
